,title,role,identification,reviewer,indicated value,ambiguity,note,sources
D0488,dpal mchog dang po'i sngags kyi rtog pa'i dum bu zhes bya ba,translator,P4149,,sgra bsgyur gyi lo tsA ba lha btsan po dge slong bla ma zhi ba'i 'od,,,
D0490,dpal rdo rje snying po rgyan ces bya ba'i rgyud kyi rgyal po chen po,translator,P2085,,dpal ldan blo gros brtan pa,,,
D0492,de bzhin gshegs pa thams cad kyi sku dang gsung dang thugs kyi gsang ba rgyan gyi bkod pa zhes bya ba'i rgyud kyi rgyal po,translatorPandita,P8200,,rgya gar gyi mkhan po brda sprod pa chen po bde bar gshegs pa'i dpal,,,
D0492,de bzhin gshegs pa thams cad kyi sku dang gsung dang thugs kyi gsang ba rgyan gyi bkod pa zhes bya ba'i rgyud kyi rgyal po,translator,P1056,,sgyur byed kyi mkhas pa sgra'i gzhung lugs la blo gros dkar ba kun dga' rgyal mtshan,,,
D0492,de bzhin gshegs pa thams cad kyi sku dang gsung dang thugs kyi gsang ba rgyan gyi bkod pa zhes bya ba'i rgyud kyi rgyal po,translationplace,-,,dpal sa skya'i dben gnas dam par bsgyur,,,
D0493,phags pa gsang ba nor bu thig le zhes bya ba'i mdo,translator,P8200,,mkhas pa bde bar gshegs pa'i dpal,,,
D0493,phags pa gsang ba nor bu thig le zhes bya ba'i mdo,translator,P1056,,sgra rig kun dga' rgyal mtshan,,,
D0493,phags pa gsang ba nor bu thig le zhes bya ba'i mdo,translationplace,-,,dpal ldan sa skya'i gtsug lag khang du bsgyur,,,
D0494,rnam par snang mdzad chen po mngon par rdzogs par byang chub pa rnam par sprul pa byin gyis rlob pa shin tu rgyas pa mdo sde'i dbang po'i rgyal po zhes bya ba'i chos kyi rnam grangs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0494,rnam par snang mdzad chen po mngon par rdzogs par byang chub pa rnam par sprul pa byin gyis rlob pa shin tu rgyas pa mdo sde'i dbang po'i rgyal po zhes bya ba'i chos kyi rnam grangs,translator,P8182,,zhu chen gyi lots+tsha ba ban de dpal brtsegs,,,
D0495,de bzhin gshegs pa thams cad kyi khro bo'i rgyal po 'phags pa mi g.yo ba de'i stobs dpag tu med pa rtul phod pa 'dul bar gsungs pa zhes bya ba'i rtog pa,translatorPandita,P0AT0102,,rgya gar gyi mkhan po u la sha ma rak+Shi ta,,,
D0495,de bzhin gshegs pa thams cad kyi khro bo'i rgyal po 'phags pa mi g.yo ba de'i stobs dpag tu med pa rtul phod pa 'dul bar gsungs pa zhes bya ba'i rtog pa,translator,P8203,,lots+tsha ba glan dge slong dar ma blo gros,,,
D0495,de bzhin gshegs pa thams cad kyi khro bo'i rgyal po 'phags pa mi g.yo ba de'i stobs dpag tu med pa rtul phod pa 'dul bar gsungs pa zhes bya ba'i rtog pa,revisor,P856,,lo tsA ba dge slong chos skyong bzang po,,,
D0495,de bzhin gshegs pa thams cad kyi khro bo'i rgyal po 'phags pa mi g.yo ba de'i stobs dpag tu med pa rtul phod pa 'dul bar gsungs pa zhes bya ba'i rtog pa,revisor2,P0AT0103,,dge slong A nan+da mang+ga laM,,,
D0495,de bzhin gshegs pa thams cad kyi khro bo'i rgyal po 'phags pa mi g.yo ba de'i stobs dpag tu med pa rtul phod pa 'dul bar gsungs pa zhes bya ba'i rtog pa,revisionplace,-,,dpal 'khor bde chen gyi gtsug lag khang du/_bi kra ma la shI la'i gtsug lag gi rgya dpe la gtugs nas/_mi 'chos su mi rung ba rnams legs par bcos te dag par bgyis pa'o,,,
D0496,phags pa lag na rdo rje dbang bskur ba'i rgyud chen po,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0496,phags pa lag na rdo rje dbang bskur ba'i rgyud chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0497,phags pa lha mo brgyad kyi gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0497,phags pa lha mo brgyad kyi gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0498,bcom ldan 'das phyag na rdo rje gos sngon po can gyi rgyud ces bya ba,translatorPandita,P8206,,kha che'i paN+Di ta tse lu,,,
D0498,bcom ldan 'das phyag na rdo rje gos sngon po can gyi rgyud ces bya ba,translator,P3709,,bod kyi lo ts+tsha ba 'phags pa shes rab,,,
D0499,phags pa lag na rdo rje gos sngon po can rdo rjes 'og ces bya ba'i rgyud,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra,,,
D0499,phags pa lag na rdo rje gos sngon po can rdo rjes 'og ces bya ba'i rgyud,translator,P753,,sgra bsgyur gyi lo ts+tsha ba dge slong bya'i gdong pa can,,,
D0500,rdo rje sa gsum du rgyu ba zhes bya ba'i rtog pa'i rgyal po,translatorPandita,P8208,,rgya gar gyi mkhan po ku mA ra badzra,,,
D0500,rdo rje sa gsum du rgyu ba zhes bya ba'i rtog pa'i rgyal po,translator,P4274,,ra byid lo ts+tsha ba,,,
D0500,rdo rje sa gsum du rgyu ba zhes bya ba'i rtog pa'i rgyal po,translationplace,-,,dpal dpe med lhun gyis grub pa'i gtsug lag khang,,,
D0501,phags pa lag na rdo rje gos sngon po can zhes bya ba 'jig rten gsum 'dul ba'i rgyud,translatorPandita,P3379,,rgya gar gyi mkhan po dI paM ka ra,,,
D0501,phags pa lag na rdo rje gos sngon po can zhes bya ba 'jig rten gsum 'dul ba'i rgyud,translator,P753,,zhu chen gyi lots+tsha ba dge slong rin chen bzang po,,,
D0502,dam tshig gsum bkod pa'i rgyal po zhes bya ba'i rgyud,translatorPandita,P2956,,rgya gar gyi mkhan po kr-iSh+Na paN+Di ta,,,
D0502,dam tshig gsum bkod pa'i rgyal po zhes bya ba'i rgyud,translator,P3456,,lo ts+tsha ba dge slong tshul khrims rgyal ba,,,
D0503,phags pa de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0503,phags pa de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0503,phags pa de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shi lan+d+ra bo d+hi,,,
D0503,phags pa de bzhin gshegs pa bdun gyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0504,phags pa bcom ldan 'das sman gyi bla bai DUr+ya'i 'od kyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0504,phags pa bcom ldan 'das sman gyi bla bai DUr+ya'i 'od kyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0504,phags pa bcom ldan 'das sman gyi bla bai DUr+ya'i 'od kyi sngon gyi smon lam gyi khyad par rgyas pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,revisor,P3456,,dge slong tshul khrims rgyal ba,,,
D0505,phags pa de bzhin gshegs pa'i ting nge 'dzin gyi stobs bskyed pa bai DUr+ya'i 'od ces bya ba'i gzungs,translationplace,-,,tho ling gser khang,,,
D0506,phags pa nor bu chen po rgyas pa'i gzhal med khang shin tu rab tu gnas pa gsang ba dam pa'i gsang ba'i cho ga zhib mo'i rgyal po zhes bya ba'i gzungs,translatorPandita,P8211,,rgya gar gyi mkhan po bid+yA ka ra pra b+ha,,,
D0506,phags pa nor bu chen po rgyas pa'i gzhal med khang shin tu rab tu gnas pa gsang ba dam pa'i gsang ba'i cho ga zhib mo'i rgyal po zhes bya ba'i gzungs,translator,P4259,,lo ts+tsha ba ban+de dpal gyi lhun po,,,
D0506,phags pa nor bu chen po rgyas pa'i gzhal med khang shin tu rab tu gnas pa gsang ba dam pa'i gsang ba'i cho ga zhib mo'i rgyal po zhes bya ba'i gzungs,revisor,P8182,,zhu chen gyi lots+tsha ba ban+de dpal brtsegs,,,
D0507,phags pa de bzhin gshegs pa thams cad kyi byin gyis brlabs kyi snying po gsang ba ring bsrel gyi za ma tog ces bya ba'i gzungs theg pa chen po'i mdo,translatorPandita,P8211,,paN+Di ta bid+yA ka ra pra b+ha wa,,,
D0507,phags pa de bzhin gshegs pa thams cad kyi byin gyis brlabs kyi snying po gsang ba ring bsrel gyi za ma tog ces bya ba'i gzungs theg pa chen po'i mdo,translator,P8212,,lo ts+tsha ba gtsang de wen+d+ra rak+Shita,,,
D0510,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translatorPandita,P8213,,rgya gar gyi mkhan po bad+yA ka ra sing+ha,,,
D0510,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,translator,P4259,,zhu chen gyi lo tsA ba ban de dpal gyi lhun po'i sde,,,
D0510,phags pa 'od zer dri ma med pa rnam par dag pa'i 'od ces bya ba'i gzungs,revisor,P2557,,dge bshes 'brom ston pa,,,
D0511,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0511,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translatorPandita,P8210,,dA na shI la,,,
D0511,phags pa sangs rgyas bcu gnyis pa zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lots+tsha ba ban de ye shes sde,,,
D0513,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0513,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0513,phags pa sangs rgyas thams cad kyi yan lag dang ldan pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0514,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0514,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translatorPandita,P8210,,dA na shI la,,,
D0514,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs kyi chos kyi rnam grangs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0515,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0515,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0515,phags pa sangs rgyas kyi snying po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0517,phags pa dri ma med pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0517,phags pa dri ma med pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0517,phags pa dri ma med pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0518,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0518,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0518,phags pa tsan+dan gyi yan lag ces bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0523,phags pa sa'i dbang po chen po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0523,phags pa sa'i dbang po chen po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0523,phags pa sa'i dbang po chen po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban de ye shes sde,,,
D0527,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P4CZ15493,,rgya gar gyi mkhan po pradz+nya bar ma,,,
D0527,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D0527,phags pa chos thams cad kyi yon tan bkod pa'i rgyal po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0529,phags pa gzungs chen po,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0529,phags pa gzungs chen po,translatorPandita,P8210,,dA na shI la,,,
D0529,phags pa gzungs chen po,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0531,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,translatorPandita,P5011,,rgya gar gyi mkhan po bi ma la mi tra,,,
D0531,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,translator,P1256,,lo ts+tsha ba dge slong rin chen sde,,,
D0531,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,revisor2,P1242,,zhu chen gyi lo ts+tsha ba dge blo,,,
D0531,bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po,revisor,P4260,,nam mkha',,,
D0542,phags pa khyad par can zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0542,phags pa khyad par can zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0542,phags pa khyad par can zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0543,phags pa 'jam dpal gyi rtsa ba'i rgyud,translatorPandita,P4CZ15137,,rgya gar gyi mkhan po dge bsnyen chen po ku mA ra ka la sha,,,
D0543,phags pa 'jam dpal gyi rtsa ba'i rgyud,translator,P8216,,sgra sgyur gyi lots+tsha ba dge slong shAkya blo gros,,,
D0544,dpa' bo gcig pu grub pa zhes bya ba'i rgyud kyi rgyal po chen po,translatorPandita,P3379,,rgya gar gyi mkhan po chen po dI paM ka ra shrIdz+nyA na,,,
D0544,dpa' bo gcig pu grub pa zhes bya ba'i rgyud kyi rgyal po chen po,translator,P1242,,lots+tsha ba dge slong dge ba'i blo gros,,,
D0544,dpa' bo gcig pu grub pa zhes bya ba'i rgyud kyi rgyal po chen po,revisor,P3456,,dge slong tshul khrims rgyal ba,,,
D0545,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,translatorPandita,P8175,,rgya gar gyi mkhan po dz+nyA na gar+b+ha,,,
D0545,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,translator,P8218,,lots+tsha ba ban+de klu'i dbang po,,,
D0545,phags pa 'jam dpal gyi zhal nas gsungs pa zhes bya ba'i gzungs,revisor,P8220,,zhu chen gyi lots+tsha ba ban+de de ba tsan+d+ra,,,
D0555,phags pa gser 'od dam pa mchog tu rnam par rgyal ba'i mdo sde'i rgyal po theg pa chen po'i mdo,translator,P8221,,zhu chen gyi mkhan po dang lots+tsha ba bcom ldan 'das kyi ring lugs pa ban+de chos grub,,,
D0556,phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P8209,,paN+Di ta dzi na mi dra,,,
D0556,phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo,translatorPandita,P1KG8854,,shi len+d+ra bo d+hi,,,
D0556,phags pa gser 'od dam pa mdo sde'i dbang po'i rgyal po zhes bya ba theg pa chen po'i mdo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0558,stong chen mo rab tu 'joms pa zhes bya ba'i mdo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0558,stong chen mo rab tu 'joms pa zhes bya ba'i mdo,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0558,stong chen mo rab tu 'joms pa zhes bya ba'i mdo,translatorPandita,P4CZ16819,,shAkya pra b+ha,,,
D0558,stong chen mo rab tu 'joms pa zhes bya ba'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0558,stong chen mo rab tu 'joms pa zhes bya ba'i mdo,revisor,P318,,lo tsA ba gzhon nu dpal,,,
D0559,rig sngags kyi rgyal mo rma bya chen mo,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len dra bo d+hi,,,
D0559,rig sngags kyi rgyal mo rma bya chen mo,translatorPandita,P8222,,dz+nyA na sid d+hi,,,
D0559,rig sngags kyi rgyal mo rma bya chen mo,translatorPandita,P4CZ16819,,shAkya pra b+ha,,,
D0559,rig sngags kyi rgyal mo rma bya chen mo,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0561,phags pa rig pa'i rgyal mo so sor 'brang ba chen mo,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0561,phags pa rig pa'i rgyal mo so sor 'brang ba chen mo,translatorPandita,P8210,,dA na shI la,,,
D0561,phags pa rig pa'i rgyal mo so sor 'brang ba chen mo,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0561,phags pa rig pa'i rgyal mo so sor 'brang ba chen mo,revisor,P318,,lo tsA ba gzhon nu dpal,,,
D0562,bsil ba'i tshal chen po'i mdo,translatorPandita,P1KG8854,,paN+Di ta shI len+d+ra bo d+hi,,,
D0562,bsil ba'i tshal chen po'i mdo,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0562,bsil ba'i tshal chen po'i mdo,translatorPandita,P4CZ16819,,shAkya pra b+ha,,,
D0562,bsil ba'i tshal chen po'i mdo,translator,P8205,,lo tsA ba ban+de ye shes sde,,,
D0562,bsil ba'i tshal chen po'i mdo,revisor,P318,,gos gzhon nu dpal,,,
D0563,gsang sngags chen po rjes su 'dzin pa'i mdo,translatorPandita,P1KG8854,,paN+Di ta shI len+d+ra bo d+hi,,,
D0563,gsang sngags chen po rjes su 'dzin pa'i mdo,translatorPandita,P8222,,dz+nyA na sid+d+hi,,,
D0563,gsang sngags chen po rjes su 'dzin pa'i mdo,translatorPandita,P4CZ16819,,shAkya pra b+ha ba,,,
D0563,gsang sngags chen po rjes su 'dzin pa'i mdo,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0564,phags ma 'od zer can zhes bya ba'i gzungs,translatorPandita,P8224,,paN+Di ta a mo g+ha badzra,,,
D0564,phags ma 'od zer can zhes bya ba'i gzungs,translator,P3731,,lo tsA ba dge slong ba ri rin chen grags pa,,,
D0567,phags pa rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translatorPandita,P8209,,rgya gar gyi mkhan po dzin mi tra,,,
D0567,phags pa rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translatorPandita,P8210,,dA na shI la,,,
D0567,phags pa rig sngags kyi rgyal mo chen mo rgyal ba can zhes bya ba,translator,P8205,,zhu chen gyi lo tsA ba ban+de ye shes sde,,,
D0569,phags pa dbang bskur ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0569,phags pa dbang bskur ba zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0569,phags pa dbang bskur ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0570,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0570,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0570,phags pa dbyig dang ldan pa zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0574,phags pa gtsug gi nor bu zhes bya ba'i gzungs,translatorPandita,P1KG8854,,rgya gar gyi mkhan po shI len+d+ra bo d+hi,,,
D0574,phags pa gtsug gi nor bu zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
D0591,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar po can gzhan gyis mi thub pa phyir zlog pa chen mo mchog tu grub pa zhes bya ba'i gzungs,translatorPandita,P8225,,paN+Di ta pa ra hi ta b+ha dra,,,
D0591,phags pa de bzhin gshegs pa'i gtsug tor nas byung ba'i gdugs dkar po can gzhan gyis mi thub pa phyir zlog pa chen mo mchog tu grub pa zhes bya ba'i gzungs,translator,P4401,,lo ts+tsha ba gzu dga' rdor,,,
D0594,de bzhin gshegs pa thams cad kyi gtsug tor rnam par rgyal ba zhes bya ba'i gzungs rtog pa dang bcas pa,translatorPandita,P8227,,paN+Dita chos kyi sde,,,
D0594,de bzhin gshegs pa thams cad kyi gtsug tor rnam par rgyal ba zhes bya ba'i gzungs rtog pa dang bcas pa,translator,P3731,,khams pa lots+tsha ba dge slong ba ri,,,
D0597,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi ta,,,
D0597,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translatorPandita,P8228,,su ren+d+ra bo d+hi,,,
D0597,phags pa ngan 'gro thams cad yongs su sbyong ba gtsug tor rnam par rgyal ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0598,de bzhin gshegs pa thams cad kyi gtsug tor rnam par rgyal ma'i gzungs zhes bya ba'i rtog pa,translator,P2JM492,,lots+tsha ba gnas brtan dpal nyi ma rgyal mtshan bzang po,,,
D0598,de bzhin gshegs pa thams cad kyi gtsug tor rnam par rgyal ma'i gzungs zhes bya ba'i rtog pa,translationplace,-,,dpal thar pa gling gi gtsug lag khang du,,,
D0599,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0599,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translatorPandita,P1KG8854,,shI len+d+ra bo d+hi,,,
D0599,kun nas sgor 'jug pa'i 'od zer gtsug tor dri ma med par snang ba de bzhin gshegs pa thams cad kyi snying po dang dam tshig la rnam par lta ba zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lots+tsha ba ban+de ye shes sde,,,
D0606,phags pa be con chen po zhes bya ba'i gzungs,translatorPandita,P8209,,rgya gar gyi mkhan po dzi na mi tra,,,
D0606,phags pa be con chen po zhes bya ba'i gzungs,translatorPandita,P8210,,dA na shI la,,,
D0606,phags pa be con chen po zhes bya ba'i gzungs,translator,P8205,,zhu chen gyi lo ts+tsha ba ban+de ye shes sde,,,
